Account_name,SenderCity,ReceiverCity,ServiceType,LeggingCost,Carrier_name
102.0,424.0,424.0,5,13.4,lk transport store rite logistics
132.0,49.0,453.0,8,47.16,stl linehaul
153.0,424.0,9.0,2,30.0,booth's transport (si) ltd
132.0,49.0,453.0,8,47.16,stl linehaul
132.0,49.0,220.0,8,48.57,stl linehaul
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,49.0,49.0,5,18.9,cargo plus ltd
132.0,49.0,220.0,8,48.57,stl linehaul
93.0,49.0,50.0,2,131.26,mainstream nz ltd
132.0,191.0,187.0,20,20.6,stl linehaul
183.0,49.0,424.0,2,57.73,bascik transport
132.0,49.0,203.0,8,84.19,stl linehaul
102.0,49.0,98.0,2,170.37,booth's transport (si) ltd
132.0,49.0,115.0,8,83.21,stl linehaul
113.0,414.0,187.0,8,65.0,stl linehaul
17.0,49.0,280.0,8,478.76,booth's transport (si) ltd
17.0,49.0,280.0,8,793.51,stl linehaul
187.0,49.0,453.0,8,188.81,stl linehaul
183.0,49.0,424.0,2,101.28,bascik transport
146.0,424.0,33.0,8,181.53,booth's transport (si) ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
102.0,424.0,225.0,2,71.37,booth's transport (si) ltd
162.0,49.0,191.0,8,130.66,stl linehaul
87.0,424.0,424.0,5,23.81,lk transport store rite logistics
183.0,49.0,424.0,2,57.73,bascik transport
134.0,49.0,363.0,2,46.58,mainstream nz ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
115.0,424.0,245.0,7,70.0,t&g transport
102.0,424.0,424.0,5,23.81,lk transport store rite logistics
139.0,49.0,281.0,8,35.0,freightplus ltd
29.0,49.0,225.0,2,132.9,bascik transport
104.0,49.0,50.0,7,95.35,halls refrigeration
182.0,49.0,445.0,8,165.23,stl linehaul
132.0,49.0,310.0,8,48.57,stl linehaul
123.0,49.0,310.0,8,46.5,stl linehaul
136.0,424.0,49.0,2,15.1,pass the parcel
40.0,49.0,80.0,8,475.78,booth's transport (si) ltd
40.0,49.0,80.0,8,996.69,stl linehaul
182.0,49.0,281.0,8,883.74,freightplus ltd
114.0,381.0,49.0,2,59.54,bascik transport
132.0,49.0,249.0,8,48.57,stl linehaul
132.0,49.0,49.0,5,43.03,cargo plus ltd
132.0,49.0,220.0,8,90.93,stl linehaul
132.0,49.0,49.0,5,19.56,cargo plus ltd
66.0,424.0,49.0,2,57.1,bascik transport
132.0,49.0,49.0,5,20.6,cargo plus ltd
104.0,49.0,469.0,7,154.49,halls refrigeration
99.0,424.0,191.0,2,47.88,mainstream nz ltd
99.0,424.0,191.0,2,50.0,mainstream nz ltd
153.0,424.0,80.0,2,32.0,booth's transport (si) ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,49.0,224.0,8,97.37,stl linehaul
167.0,25.0,191.0,2,45.79,mainstream nz ltd
102.0,424.0,424.0,2,13.9,lk transport store rite logistics
183.0,49.0,424.0,2,55.83,bascik transport
113.0,424.0,245.0,2,180.94,booth's transport (si) ltd
183.0,49.0,1.0,2,63.28,mainstream nz ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
167.0,25.0,333.0,2,84.07,bascik transport
132.0,49.0,49.0,5,62.2,cargo plus ltd
187.0,49.0,86.0,2,118.8,stl linehaul
187.0,49.0,86.0,2,49.5,booth's transport (si) ltd
102.0,424.0,434.0,2,53.98,booth's transport (si) ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,49.0,49.0,5,43.85,cargo plus ltd
132.0,49.0,49.0,5,25.43,cargo plus ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,191.0,187.0,20,20.6,stl linehaul
131.0,49.0,382.0,8,45.15,stl linehaul
132.0,49.0,49.0,5,34.77,cargo plus ltd
187.0,49.0,220.0,8,66.8,stl linehaul
74.0,424.0,291.0,2,398.25,sollys
132.0,49.0,445.0,8,48.57,stl linehaul
187.0,49.0,50.0,8,236.69,mainstream nz ltd
22.0,49.0,186.0,8,355.95,stl linehaul
102.0,424.0,80.0,2,32.39,booth's transport (si) ltd
132.0,49.0,50.0,16,990.0,freightplus ltd
170.0,49.0,113.0,2,363.14,bascik transport
102.0,424.0,86.0,2,40.5,booth's transport (si) ltd
49.0,49.0,258.0,2,89.44,mainstream nz ltd
132.0,49.0,1.0,8,41.92,stl linehaul
102.0,424.0,424.0,2,34.68,lk transport store rite logistics
123.0,49.0,451.0,8,59.48,stl linehaul
18.0,49.0,224.0,2,193.45,mainstream nz ltd
187.0,49.0,344.0,8,46.5,stl linehaul
132.0,49.0,49.0,5,34.77,cargo plus ltd
162.0,49.0,49.0,2,15.75,cargo plus ltd
150.0,49.0,88.0,8,43.06,transfreight
132.0,49.0,49.0,5,18.9,cargo plus ltd
132.0,49.0,153.0,8,114.77,stl linehaul
179.0,281.0,49.0,2,27.16,mainstream nz ltd
109.0,424.0,281.0,7,557.32,t&g transport
157.0,49.0,153.0,2,258.92,mainstream nz ltd
72.0,281.0,215.0,8,139.05,stl linehaul
113.0,49.0,113.0,2,345.39,bascik transport
132.0,49.0,281.0,20,1133.0,stl linehaul
132.0,49.0,281.0,20,1133.0,stl linehaul
148.0,49.0,281.0,2,600.0,freightplus ltd
132.0,49.0,191.0,8,47.16,stl linehaul
153.0,424.0,216.0,2,32.39,booth's transport (si) ltd
147.0,49.0,245.0,8,112.17,stl linehaul
131.0,253.0,49.0,8,142.35,stl linehaul
132.0,49.0,253.0,8,47.16,stl linehaul
108.0,242.0,49.0,2,73.32,freightplus ltd
162.0,49.0,167.0,8,208.58,stl linehaul
109.0,424.0,281.0,7,667.4,t&g transport
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,49.0,49.0,5,35.21,cargo plus ltd
162.0,49.0,191.0,8,53.7,stl linehaul
74.0,49.0,259.0,2,82.59,transcon
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,49.0,49.0,5,18.9,cargo plus ltd
139.0,49.0,49.0,5,31.79,cargo plus ltd
51.0,424.0,49.0,6,194.19,bascik transport
98.0,49.0,453.0,8,67.55,stl linehaul
132.0,49.0,49.0,5,24.06,cargo plus ltd
116.0,424.0,86.0,2,102.03,booth's transport (si) ltd
183.0,49.0,281.0,2,35.0,freightplus ltd
153.0,424.0,49.0,2,57.1,bascik transport
162.0,49.0,49.0,5,16.3,cargo plus ltd
153.0,424.0,225.0,2,101.12,booth's transport (si) ltd
183.0,49.0,424.0,2,69.9,bascik transport
113.0,49.0,164.0,8,247.54,stl linehaul
132.0,49.0,310.0,8,48.57,stl linehaul
162.0,49.0,49.0,5,32.6,cargo plus ltd
146.0,49.0,424.0,8,350.41,stl linehaul
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,49.0,203.0,8,58.95,stl linehaul
132.0,49.0,281.0,20,1100.0,stl linehaul
132.0,49.0,220.0,8,63.99,stl linehaul
108.0,191.0,49.0,2,79.02,stl linehaul
109.0,424.0,281.0,7,266.96,t&g transport
166.0,424.0,49.0,2,384.34,linfox
29.0,445.0,245.0,8,600.0,stl linehaul
23.0,49.0,253.0,8,1241.24,stl linehaul
51.0,49.0,281.0,2,35.0,freightplus ltd
93.0,49.0,50.0,2,31.96,mainstream nz ltd
132.0,49.0,49.0,5,56.7,cargo plus ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
181.0,49.0,424.0,8,1112.0,stl linehaul
132.0,191.0,164.0,20,75.09,stl linehaul
132.0,49.0,191.0,8,1035.32,stl linehaul
36.0,424.0,301.0,8,108.15,stl linehaul
132.0,49.0,49.0,5,19.56,cargo plus ltd
114.0,381.0,49.0,2,67.79,bascik transport
132.0,49.0,49.0,5,29.34,cargo plus ltd
132.0,49.0,191.0,8,103.93,stl linehaul
167.0,25.0,191.0,2,42.58,mainstream nz ltd
167.0,25.0,203.0,2,197.84,mainstream nz ltd
167.0,25.0,194.0,2,56.69,mainstream nz ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
98.0,49.0,453.0,8,55.27,stl linehaul
132.0,49.0,431.0,8,84.45,stl linehaul
132.0,49.0,203.0,8,51.8,stl linehaul
132.0,49.0,49.0,5,21.09,cargo plus ltd
102.0,424.0,424.0,5,23.81,lk transport store rite logistics
103.0,424.0,424.0,2,32.0,combined freightlines
102.0,424.0,424.0,5,13.4,lk transport store rite logistics
113.0,49.0,424.0,2,71.79,bascik transport
132.0,221.0,49.0,8,48.57,stl linehaul
132.0,49.0,49.0,8,69.54,cargo plus ltd
132.0,49.0,220.0,8,48.57,stl linehaul
132.0,49.0,218.0,8,48.57,stl linehaul
106.0,49.0,203.0,8,71.38,stl linehaul
169.0,49.0,424.0,8,417.15,stl linehaul
132.0,49.0,453.0,8,47.16,stl linehaul
150.0,49.0,424.0,2,63.37,stl linehaul
115.0,453.0,245.0,7,75.26,t&g transport
187.0,49.0,453.0,8,192.51,stl linehaul
109.0,424.0,281.0,7,259.18,t&g transport
162.0,49.0,453.0,8,43.09,stl linehaul
182.0,424.0,80.0,2,32.39,booth's transport (si) ltd
95.0,111.0,49.0,2,299.79,bascik transport
187.0,49.0,424.0,2,121.12,bascik transport
132.0,49.0,453.0,8,92.22,stl linehaul
132.0,49.0,281.0,20,1133.0,stl linehaul
36.0,424.0,49.0,2,183.28,bascik transport
187.0,49.0,253.0,8,66.02,stl linehaul
23.0,49.0,253.0,4,1348.97,stl linehaul
170.0,49.0,245.0,2,65.77,bascik transport
153.0,424.0,287.0,2,97.14,booth's transport (si) ltd
132.0,49.0,49.0,5,34.13,cargo plus ltd
182.0,49.0,424.0,2,390.27,stl linehaul
153.0,424.0,387.0,2,32.39,booth's transport (si) ltd
116.0,424.0,86.0,2,51.83,booth's transport (si) ltd
115.0,245.0,453.0,7,75.26,t&g transport
132.0,49.0,49.0,5,18.9,cargo plus ltd
132.0,49.0,224.0,8,48.57,stl linehaul
176.0,49.0,80.0,8,198.0,stl linehaul
176.0,49.0,80.0,8,134.65,booth's transport (si) ltd
169.0,49.0,424.0,8,417.15,stl linehaul
162.0,49.0,378.0,5,32.59,cargo plus ltd
71.0,49.0,424.0,2,90.03,bascik transport
132.0,49.0,344.0,8,47.16,stl linehaul
132.0,49.0,191.0,8,47.16,stl linehaul
106.0,49.0,224.0,8,55.29,stl linehaul
132.0,49.0,49.0,5,47.16,cargo plus ltd
85.0,49.0,322.0,2,101.66,mainstream nz ltd
132.0,49.0,49.0,5,26.8,cargo plus ltd
187.0,49.0,424.0,8,1025.04,stl linehaul
65.0,184.0,49.0,2,30.21,mainstream nz ltd
132.0,49.0,49.0,5,34.43,cargo plus ltd
132.0,49.0,203.0,8,194.28,stl linehaul
183.0,49.0,281.0,2,37.1,transfreight
132.0,49.0,344.0,8,48.57,stl linehaul
182.0,49.0,424.0,8,193.74,stl linehaul
23.0,49.0,253.0,8,56.53,stl linehaul
71.0,49.0,35.0,2,35.0,freightplus ltd
132.0,49.0,281.0,20,1133.0,stl linehaul
132.0,191.0,187.0,20,20.6,stl linehaul
132.0,49.0,153.0,8,48.57,stl linehaul
132.0,49.0,49.0,5,34.77,cargo plus ltd
132.0,49.0,221.0,8,47.16,stl linehaul
162.0,49.0,221.0,8,51.39,stl linehaul
132.0,49.0,49.0,5,20.73,cargo plus ltd
161.0,49.0,424.0,2,117.0,stl linehaul
132.0,49.0,1.0,8,43.18,stl linehaul
115.0,424.0,245.0,7,72.1,t&g transport
55.0,49.0,351.0,2,343.48,conroys removals ltd
115.0,245.0,424.0,7,72.1,t&g transport
132.0,49.0,49.0,5,19.56,cargo plus ltd
102.0,424.0,424.0,5,23.81,lk transport store rite logistics
132.0,49.0,310.0,8,112.61,stl linehaul
147.0,49.0,219.0,8,46.5,stl linehaul
183.0,49.0,424.0,2,69.58,bascik transport
132.0,49.0,49.0,5,33.64,cargo plus ltd
65.0,245.0,424.0,2,31.17,booth's transport (si) ltd
86.0,49.0,424.0,2,285.62,bascik transport
168.0,49.0,424.0,1,49.88,urgent couriers ltd
168.0,49.0,424.0,1,256.4,qantas couriers
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,49.0,281.0,8,31.44,stl linehaul
132.0,49.0,221.0,8,76.08,stl linehaul
150.0,49.0,445.0,2,31.76,mainstream nz ltd
131.0,49.0,79.0,2,83.67,transcon
187.0,49.0,253.0,8,84.82,stl linehaul
115.0,245.0,424.0,7,72.1,t&g transport
71.0,49.0,220.0,2,45.42,stl linehaul
176.0,49.0,453.0,8,122.85,stl linehaul
187.0,49.0,453.0,8,221.76,stl linehaul
113.0,49.0,310.0,8,144.18,stl linehaul
153.0,424.0,80.0,2,32.39,booth's transport (si) ltd
118.0,424.0,424.0,5,52.58,lk transport store rite logistics
167.0,25.0,311.0,2,127.1,mainstream nz ltd
132.0,49.0,49.0,5,18.9,cargo plus ltd
49.0,49.0,184.0,2,89.02,mainstream nz ltd
132.0,49.0,453.0,8,124.68,stl linehaul
134.0,49.0,363.0,2,94.75,mainstream nz ltd
16.0,80.0,49.0,4,6965.0,move logistics ltd
153.0,424.0,245.0,2,30.0,booth's transport (si) ltd
102.0,424.0,424.0,5,23.81,lk transport store rite logistics
132.0,49.0,49.0,5,171.07,cargo plus ltd
132.0,49.0,203.0,8,103.62,stl linehaul
187.0,49.0,50.0,8,133.42,mainstream nz ltd
170.0,424.0,280.0,2,32.39,booth's transport (si) ltd
132.0,49.0,49.0,5,37.94,cargo plus ltd
132.0,49.0,453.0,8,48.57,stl linehaul
132.0,49.0,220.0,8,48.57,stl linehaul
102.0,424.0,424.0,5,13.4,lk transport store rite logistics
78.0,49.0,281.0,8,259.7,stl linehaul
132.0,49.0,49.0,3,240.0,freightplus ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
132.0,49.0,453.0,8,48.57,stl linehaul
132.0,49.0,49.0,5,126.0,cargo plus ltd
4.0,453.0,49.0,2,39.53,stl linehaul
139.0,49.0,10.0,6,190.28,urgent couriers ltd
153.0,424.0,317.0,2,42.1,booths transport ltd
16.0,424.0,268.0,10,465.0,timatanga enterprises ltd
132.0,49.0,49.0,5,19.56,cargo plus ltd
71.0,49.0,6.0,2,45.0,mainstream nz ltd
117.0,49.0,424.0,2,289.22,bascik transport
132.0,49.0,49.0,5,32.08,cargo plus ltd
48.0,49.0,281.0,8,69.94,freightplus ltd
179.0,49.0,281.0,2,117.73,mainstream nz ltd
132.0,49.0,220.0,8,47.16,stl linehaul
132.0,49.0,49.0,8,34.77,cargo plus ltd
